光学字符识别	OCR
肿胀的	tumid|bloated
胀气的	flatulent
胁迫	duress
胃	maw|stomach
胃灼热	pyrosis|heartburn
胃炎	gastritis
胃病学	gastrology
胃病学家	gastrologist
胃痛	stomachache
胃的	gastric
胃肠炎	gastroenteritis
胃肠病学	gastroenterology
胃肠的	gastrointestinal
胃蛋白酶	pepsin
胃部	stomaches
胃酸过多	hyperacidity
胆囊	gallbladder
胆固醇	cholesterol
胆小的	timid|pavid
胆怯	timidity
胆怯地	timidly
胆怯的	cowardly|timorous
胆汁	bile|gall
胆汁的	bilious
胆石	bilestone
胆碱	choline
胆结石	gallstone
胆量	audacity|hardihood
背书	endorse|endorsement
背书中	endorsing
背书人	endorser
背信	recreancy
背信弃义	perfidy
背信弃义的	perfidious
背信者	recreant
背光	backlighting
背光的	backlit
背包	rucksack|backpack
背包旅行	backpacking
背叛	betray|betrayal
背叛的	traitorous
背叛行为	treacheries
背口的	aboral
背后中伤	backbit|backbite
背后中伤者	backbiter
背墙	parados
背心	vest|singlet
背心饰片	vestee
背散射	backscatter
背散射的	backscattered
背斜	anticline
背斜的	anticlinal
背景	backdrop|background
背景音乐	BGM|Muzak
背板	tergum|backplate
背痛	backache
背诵	recite|recitation
背负	piggyback
背部	back
背部的	dorsal
背面	verso|overleaf
背风处	lee
背风的	leeward
背驮	pickaback
胎儿	fetus|foetus
胎儿学	fetology
胎儿的	fetal
胎生	viviparity
胎生的	pupiparous|viviparous
胎盘	placenta|afterbirth
胎盘的	placental
胎膜	caul
胎记	birthmark
胖墩	butterball
胖子	fatso|pudge
胖的	chubby
胚盘	blastoderm
胚胎	emby|embryo
胚胎学	embryology
胚胎学家	embryologist
胚胎的	embryonic
胚芽	germen
胜利	victory|triumph
胜利中	triumphing
胜利了	triumphed
胜利地	victoriously|triumphantly
胜利的	triumphal|victorious
胜利者	victor
胜过	excels|trumped
胞嘧啶	cytosine
胡佛	Hoover
胡佛化	Hooverize
胡子	mustache|moustache
胡安	Juan
胡安妮塔	Juanita
胡尔	hur
胡思乱想	woolgathering
胡扯	flam|hokum
胡格诺派	huguenot
胡桃夹子	nutcracker
胡梅尔	Hummel
胡椒	pepper
胡椒味	peppery
胡椒盒	pepperbox
胡芦巴	fenugreek
胡茬	stubble
胡萝卜	carrot
胡萝卜色的	carroty
胡言乱语	babble|drivel
胡言乱语过	babbled
胡话	ravings|nonsense
胡说	tosh|guff
胡说的	blithering
胡贝尔	Huber
胡迪尼	Houdini
胡里奥	Julio
胡须	beard|whisker
胫甲	greave
胫骨	shin|tibia
胫骨的	tibial
胭脂	rouge
胭脂树	annatto
胭脂红	carmine
胭脂虫	cochineal
胯部	crotch
胰岛素	insulin
胰腺	pancreas
胰腺的	pancreatic
胰蛋白酶	trypsin
胶体	colloid
胶体的	colloidal
胶凝	gelation
胶化	gelatinize|gelatinise
胶原蛋白	collagen
胶合板	plywood|Weldwood
胶囊	caplet|capsule
胶带	taping
胶木	gumwood
胶水	glue|gumwater
胶片条	filmstrip
胶版	heliotype
胶版誊写	hectograph
胶状的	jellied|gelatinous
胶结	cementing|cementation
胶锅	gluepot
胸墙	breastwork
胸甲	cuirass|plastron
胸甲骑兵	cuirassier
胸的	pectoral
胸罩	bra|brassiere
胸肉	brisket
胸腔	thorax
胸腺	thymus
胸腺嘧啶	thymine
胸膜	pleura
胸膜炎	pleurisy|pleuritis
胸膜的	pleural
胸花	corsage
胸部	chest|bosom
胸部的	thoracic
胸针	brooch|breastpin
胸闷的	chesty
胸饰	jabot|stomacher
胸骨	sternum|breastbone
胸骨的	sternal
胺	amine
能	can|could
能力	ability|faculties
能动性	motility
能动的	motile
能够	able
能干地	ably|capably
能抓握的	prehensile
能见度	visibility
能量	energy|energies
能量主义	energism
能量学	energetics
脂肪	fat
脂肪族	aliphatic
脂肪的	fatty|adipose
脂肪酶	lipase
脂蛋白	lipoprotein
脂质	lipid
脆度	crispness
脆弱	frailty|fragility
脆弱地	flimsily
脆弱性	vulnerability
脆弱的	flimsy|fragile
脆性	brittleness
脆的	crisp|crunchy
脆饼	cracknel
脉冲	puls
脉冲器	pulser
脉冲星	pulsar
脉动	pulsing
脉孢菌	neurospora
脉序	nervation
脉搏	pulse|sphygmus
脉搏描记器	sphygmograph
脉石	gangue
脉络膜	choroid
脊柱	spine|backbone
脊柱地	spinally
脊柱的	spinal
脊梁	ridgepole
脊椎动物	vertebrate
脊椎形成	vertebration
脊椎按摩	chiropractic
脊椎按摩师	chiropractor
脊椎炎	spondylitis
脊索	notochord
脊索动物	chordate
脊骨	chine
脊髓灰质炎	poliomyelitis
脊髓炎	myelitis
脏	dirty
脏嘴	foulmouth
脏话	cussword|swearword
脐	umbilicus
脐状的	umbilicate
脐的	umbilical
脑	encephalon
脑力劳动	headwork
脑叶切除	lobotomy
脑回	gyrus
脑垂体	pituitary
脑壳	brainpan|braincase
脑干	brainstem
脑损伤	braindamaged
脑炎	encephalitis
脑电图	encephalogram|electroencephalogram
脑电图仪	encephalograph|electroencephalograph
脑电图术	encephalography
脑筋急转弯	brainteaser
脑脊髓的	cerebrospinal
脑膜炎	meningitis
脑膜的	meningeal
脑袋	noddle
脑震荡	concussion
脓	pus|purulence
脓疱	pustule
脓疱形成	pustulation
脓疱病	impetigo
脓疱的	pustular
脓肿	abscess
脖子	neck
脚	feet|foot
脚下	underfoot
脚凳	footrest|footstool
脚印	footprint
脚后跟	heel
脚手架	scaffold|falsework
脚本	script
脚本库	jQuery
脚本编写	scripting
脚本语言	JS|lua
脚步	footstep
脚步声	footfall
脚气病	beriberi
脚注	footnote
脚灯	footlight
脚痛	footsore
脚背	instep
脚趾	toe
脚趾甲	toenail
脚踏板	footboard
脚踏车	velocipede
脚踝	ankle
脚轮	caster
脚链	anklet
脱	doff
脱位	luxation
脱去	unclothe
脱发	alopecia
脱口而出	blurt
脱咖啡因	decaffeinate
脱垂	prolapse
脱尼古丁	denicotinise|denicotinize
脱开	declutch
脱敏	desensitize
脱毛	moult|depilate
脱毛剂	pilatory|depilatory
脱气	degas|degassing
脱氢酶	dehydrogenase
脱氧	deoxidise|deoxidize
脱氧剂	deoxidizer|deoxidiser
脱氧核糖核酸	DNA|dna
脱水	dehydrate|dehydration
脱水的	dehydrated
脱盐	desalt|desalination
脱矿	demineralize|demineralise
脱矿器	demineraliser
脱矿的	demineralized|demineralised
脱离	secede|undock
脱离中	seceding|disengaging
脱离肉体	disembodiment
脱缰者	bolter
脱脂	degrease
脱脂的	defatted
脱臼	dislocate|dislocation
脱节	disjoint|disjointness
脱节地	disjointly
脱节的	disjointed
脱落	shedding|abscission
脱落者	shedder
脱蜡	dewax
脱衣	disrobe|undress
脱衣舞	striptease
脱衣舞者	ecdysiast|stripteaser
脱轨	derail
脱轨中	derailing
脱轨器	derailer
脱轨的	derailed
脱逃术	escapology
脱钙	decalcify
脱钩	unpeg
脱靴器	bootjack
脸	phiz|face
脸书	facebook
脸书商城	FBM
脸红	blush|ablush
脸红的	flushed|blushing
脸颊	cheek
脾气	temper
脾气坏	grump|grumpy
脾气坏地	cantankerously
脾气坏的	crotchety|spleenful
脾气坏的人	crosspatch
脾炎	splenitis
脾的	lienal|splenic
脾脏	spleen
腊梅	wintersweet
腊肠犬	dachshund
腋	axil
腋下	oxter|underarm
腋下的	axillary
腋窝	armpit|axilla
腌制	salting|marinate
腌制的	corned|pickled
腌料	marinade
腐化	corrupts|corrupting
腐朽	molder|moulder
腐殖质	mor|humus
腐烂	rot|decay
腐烂中	rotting
腐烂的	rotten|putrid
腐生植物	saprophyte
腐肉	carrion
腐臭	rancid
腐蚀	corrode|corrosion
腐蚀剂	caustics
腐蚀性	caustic|causticity
腐蚀性的	corrosive
腐败	venality|spoilage
腐败分子	corruptionist
腐败的	corrupt|putrescent
腐败者	corrupter
腓尼基	Phoenicia
腓尼基人	phoenician
腓立比	philippi
腓立比书	Philippians
腓骨	fibula
腓骨的	fibular
腔棘鱼	coelacanth
腔肠动物	coelenterate
腕尺	cubit
腕带	wristband
腕足动物	brachiopod
腕骨	carpal|carpus
腥臭的	rammish
腭位图	palatogram
腭的	palatal
腮红	blusher
腰	loin|waist
腰围	girth|waistline
腰布	dhoti|loincloth
腰带	obi|belt
腰带蛋糕	girdlecake
腰果	cashew
腰痛	lumbago
腰腿	haunch
腰褶	peplum
腰部	loins
腰部的	lumbar
腹地	hinterland
腹带	bellyband
腹泻	trots|diarrhea
腹痛	bellyache
腹肌	abs
腹股沟	groin
腹股沟的	inguinal
腹腔的	celiac|coeliac
腹膜炎	peritonitis
腹膜的	peritoneal
腹足	proleg
腹足类	gastropod
腹部	belly|venter
腹部的	ventral|abdominal
腺体	gland
腺嘌呤	adenine
腺样体	adenoids
腺状的	glandiform
腺的	glandular
腺苷	adenosine
腻人的	cloying
腻烦	cloy
腾出	vacate
腾讯	Tencent
腾跃	curvet|prance
腾跃了	pranced
腿	leg
腿筋	hamstring
腿长	legginess
膀胱	bladder
膀胱炎	cystitis
膀胱状	bladdery
膈的	phrenic|diaphragmatic
膈膜	diaphragm
膏药	poultice|plasters
膛线	rifling
膜	velamen|mebrane
膜翅目的	hymenopterous
膝下空间	kneehole
膝板	lapboard
膝盖	knee|genu
膝盖撞击	kneeing
膝盖的	kneed
膝盖骨	kneecap|patella
膝盖骨的	patellar
膨胀	bloat|swell
膨胀性	dilatancy
膨胀的	puffed|inflated
膨胀计	dilatometer
臀肌	gluteus
臀部	buns|tush
臂环	armlet
臂的	brachial
臂章	armband|brassard
臂行	brachiate
自上而下	Top-Down
自主	autonomy
自主地	autonomously
自主的	autonomic|autonomous
自举	bootstrapping
自举的	bootstrapped
自从	since
自传	autobiography|autobiographies
自传作者	autobiographer
自传的	autobiographic|autobiographical
自体中毒	autointoxication
自体荧光	autofluorescence
自作聪明者	smarty|wiseacre
自信	assertiveness
自信地	assertively|confidently
自信的	confident|assertive
自准直仪	autocollimator
自减	autodecrement
自减的	autodecremented
自切	autotomy
自制	homemade
自动	autoinatic
自动保存	autosave
自动化	automate|automation
自动化的	automated
自动取款机	cashomat|automated teller machine
自动启动器	autostarter
自动售货机	automat
自动地	Automatically
自动导航器	autonavigator
自动报警器	autoalarm
自动拨号	autodial
自动拨号器	autodialer
自动支付	autopay
自动机	automata|automaton
自动标记	automark
自动的	automatic
自动程序控制	APC
自动索引	autoindex
自动绘图仪	autoplotter
自动编号	autnumber
自动行为	automatism
自动钢琴	pianola
自动频率控制	afc
自动驾驶	autopilot
自动驾驶仪	autopilots
自助洗衣店	Laundromat|launderette
自助餐	buffet
自助餐厅	cafeteria
自发	unprompted
自发地	spontaneously
自发射	autoemission
自发性	spontaneity
自发性知觉经络反应	ASMR|autonomous sensory meridian response
自发的	spontaneous
自命不凡	priggism|priggery
自命不凡的	priggish
自命不凡者	prig
自回归	autoregressive
自增	autoincrement
自增的	autoincremented
自大	cocky|cockiness
自大狂	egomania|megalomania
自大者	bighead|egotist
自夸	boasts|boasting
自夸地	boastfully
自夸的	boastful
自学成才者	autodidact
自差	autodyne
自己	ourself|oneself
自己动手	DIY|Do It Yourself
自己的	own
自恋	narcissism
自恋的	narcissistic
自恋者	narcissist
自感染	autoinfection
自愿主义	voluntaryism
自愿地	voluntarily
自愿的	voluntary|volunteered
自我	ego|self
自我中心	egocentric
自我催眠	autohypnosis
自我意识	selfhood
自我暗示	autosuggestion
自我暗示性	autosuggestibility
自接种	autoinoculation
自整角机	selsyn
自明之理	truism
自杀	suicide
自杀地	suicidally
自杀的	suicidal
自毁	destruct
自氧化	autoxidation
自治市	burgh
自注意力	self-attention
自流的	artesian
自满	complacence|complacency
自满的	smug|complacent
自然	nature|naturalness
自然主义	naturalism
自然主义的	naturalistic
自然主义者	naturalist
自然地	naturally|unaffectedly
自然疗法	naturopathy
自然的	natural|unforced
自然神论	deism
自然神论的	deistic
自然神论者	deist
自然语言处理	NLP|Natural Language Processing
自生	autogenesis
自生的	autogenetic
自由	free|liberty
自由BSD	FreeBSD
自由DOS	fdos
自由主义	liberalism
自由人	freeman
自由保有	freehold
自由办公	LibreOffice
自由化	liberalise|liberalizing
自由化的	liberalized
自由地	freely|liberally
自由女性	freedwoman
自由开源软件	FOSS|Foss
自由式	freestyle
自由思想	freethinking
自由思想者	freethinker
自由意志	freewill
自由意志主义者	libertarian
自由文件同步	FreeFileSync
自由民	franklin
自由派	liberal
自由港	Freeport
自由状态	freeness
自由狼	LibreWolf
自由职业	freelance
自由自在	footloose
自由裁量	discretionary
自由轮	freewheel
自由速度	rubato
自相关	autocorrelate|autocorrelation
自相矛盾	antilogy
自私	selfishness
自私地	selfishly
自私的	selfish
自称地	professedly
自称的	professed
自给自足	autarky
自耕农	yeoman|yeomen
自耦变压器	autotransformer
自花受精的	autogamous
自行研究	DYOR|Do Your Own Research
自行车	bike|bicycle
自行车手	bicyclist
自行车赛场	velodrome
自行车道	bikeway
自豪	prided|priding
自负	conceit|egotism
自负地	pompously|conceitedly
自负的	pompous|egotistic
自身	itself
自述文件	readme|README.md
自适应地	adaptively
自适应的	adaptive
自重	deadweight
自闭症	autism
自闭的	autistic
臭	stink
臭名昭著	notorious
臭名昭著地	notoriously
臭味	niff|pong
臭弹	stinkball
臭椿	ailanthus
臭氧	ozon|ozone
臭氧发生器	ozonizer|ozoniser
臭氧处理	ozonize|ozonise
臭氧层	ozonosphere
臭氧的	ozonic
臭的	smelly
臭草	stinkweed
臭虫	chinch|bedbug
臭鼬	skunk|polecat
至关重要地	vitally
至关重要的	vital
至少	leastwise
至强	xeon
至日	solstice
至日的	solstitial
至此	hereto|hereunto
至福	beatitude
至高	supreme
至高无上	paramountcy
至高无上的	paramount
致冷的	frigorific
致命	lethal
致命地	fatally|mortally
致命性	deadliness
致命打击	deathblow
致命的	fatal|deadly
致命错误	fatals
致失能的	incapacitating
致幻剂	hallucinogen
致强直	tetanize|tetanise
致敏	sensitizing|sensitization
致敏的	allergenic
致敬	saluted|saluting
致残	maim
致残的	maimed|crippling
致畸	teratogenic
致病的	morbific|pathogenic
致瘸	laming
致癌物	carcinogen
致癌的	carcinogenic
致词的	salutatory
致谢	acknowledgements
臼齿	molar
舀	scoop
舀了	scooped
舀勺	scoops
舀取	spooned|scooping
舌	lingua
舌下的	sublingual
舌头	tongue
舌片	ligule
舌状的	lingulate|linguiform
舌的	glossal|lingual
舍伍德	Sherwood
舍入	roundoff
舍监	housemaster
舒	Shu
舒伯特	Schubert
舒尔曼	Shulman
舒尔茨	Schulz|Schultz
舒张	diastole
舒张的	diastolic
舒斯特	Schuster
舒曼	Schuman|Schumann
舒服的	comfy
舒适	cosy|homey
舒适地	cosily|snugly
舒适性	comfortability|comfortabilities
舒适感	homeyness
舒适的	cozy|snug
舒马赫	Schumacher
舔	lick
舔过的	licked
舞会	prom|cotillion
舞会长裙	ballgown
舞厅	dancery|ballroom
舞台	stage
舞台前部	downstage|proscenium
舞台工人	flyman
舞台工作人员	stagehand
舞台工作者	stager
舞台艺术	stagecraft
舞步	pas
舞者	dancer
舞蹈	dance
舞蹈女神	Terpsichore
舞蹈病	chorea
舞蹈病的	choreic
舢板	sampan
航天发射场	cosmodrome
航天器	spacecraft
航天学	astronautics
航天导航	astrogate
航天港	spaceport
航天电子学	astrionics
航天的	astronautical
航标	seamark
航海	seafaring
航海日志	logbook
航海的	nautical
航班	flights
航空	avi|aviation
航空信	airgraph
航空公司	airline
航空学	aeronautics
航空灯塔	aerophare
航空电子学	avionics
航空电子的	avionic
航空的	aero|aeron
航空航天	aerospace
航空邮件	airmail
航空邮简	aerogram
航行	sail|voyage
航行者	voyager
航路	airway
舰队	fleet|Armada
舱口	hatchway
舱口围板	coaming
舱壁	bulkhead
舱室	deckhouse
舱底	bilge
舱梯	companionway
舵	helm|rudder
舵手	cox|helmsman
舵手室	wheelhouse
舵柄	tiller
舵柱	rudderpost
舷侧	broadside
舷外	outboard|outrigger
舷窗	porthole|deadlight
船	boat|ship
船上的	shipboard
船中	midship
船中部	midships
船主	shipowner
船体	hull
船厂	shipyard|boatyard
船只	ships|seacraft
船台	shipway
船员	crew|shipman
船嘴鹭	boatbill
船坞	dockyard
船夫	boater|boatman
船尾	aft|poop
船尾栏杆	taffrail
船屋	houseboat
船帆座	Vela
船库	boathouse
船板	shiplap
船歌	chantey
船舱	cabin
船蛆	shipworm
船载量	shipload
船边	shipside
船运费	boatage
船长	captain|skipper
船长职位	captainship
船首	prow
船首三角帆	jib
船首斜桅	bowsprit
船首舱	forepeak
艇长	coxswain
艏楼	forecastle
良心	conscience
良性	benign|benignancy
艰巨	arduous
艰巨性	arduousness
艰巨的	Augean|Herculean
艰苦地	arduously
色差	chromatism
色度	chroma|chrominance
色度学	colorimetry
色度计	colorimeter
色彩上	chromatically
色情	xxx|porn
色情作品	erotica|pornography
色情作家	pornographer
色情明星	pornstar
色情片	porno
色情的	erotic|pornographic
色情直播	sexcam
色情网站	Pornhub
色欲	concupiscence
色泽	tinct
色球层	chromosphere
色素沉着	pigmentation
色萨利	Thessaly
色调	hue|tint
色谱仪	chromatograph
色谱图	chromatogram
色谱法	chromatography
色雷斯	Thrace
色雷斯人	Thracian
艺人	artiste|entertainer
艺伎	geisha
艺术	art
艺术品	artwork
艺术地	artistically
艺术家	artist
艺术性	artistry
艺术爱好	virtu
艺术的	arty|artistic
艾丽莎	Alyssa
艾丽西亚	Alicia
艾伦	Alan|Allen
艾伦代尔	Allendale
艾克	Ike|ike
艾克伯格	Ekberg
艾兹格	Edsger
艾凡赫	Ivanhoe
艾利斯	Allis
艾卡	eka
艾吉	Agee
艾哈迈德	ahmed|ahmad
艾哈迈达巴德	Ahmadabad|Ahmedabad
艾奇逊	Atchison
艾姆斯	Ames
艾尔斯	Ayers
艾尔斯伯里	Aylesbury
艾尔谷犬	Airedale
艾布拉姆斯	Abrams
艾布拉姆森	Abramson
艾布纳	Abner
艾希曼	Eichmann
艾弗森	Iverson
艾弗里	Avery
艾德·希兰	Ed Sheeran
艾德礼	Attlee
艾拉	Ira
艾斯纳	Eisner
艾普西隆	epsilon
艾格尼丝	Agnes
艾森豪威尔	Eisenhower
艾比	Abby
艾滋病	AIDS
艾滋病毒	HIV
艾灸	moxibustion
艾特肯	Aitken
艾玛	Irma|Emma
艾琳	erin|Irene
艾略特	Eliot|Elliot
艾米	amy|emi
艾米丽	Emily
艾米电信	AmyTelecom
艾美加	iomega
艾美奖	emmy
艾肯	Aiken
艾草	moxa|mugwort
艾莉	Ellie
艾莉森	Alison|Allison
艾菊	tansy
艾菲	Effie
艾萨克	Isaac|Izaak
艾萨克斯	Isaacs
艾萨克森	Isaacson
艾贝尔森	Abelson
艾达	Ada|ada
艾迪生	Addison
艾里斯	Aires
节俭	thrift|frugality
节俭地	frugally|thriftily
节俭的	frugal|thrifty
节制	moderation|temperance
节制的	abstemious
节奏	tempo|rhythm
节孔	knothole
节拍	beats
节拍器	metronome
节拍器的	metronomic
节日	fest|fiesta
节日的	festal
节流	throttled
节流中	throttling
节流阀	throttle
节点	node|nodus
节点版本管理器	nvm|Node Version Manager
节点的	nodal
节片	proglottis
节疤	gnarl
节目	programme
节目单	playbill
节省	scrimp|saving
节省中	economizing
节约	economise|Hooverizes
节约地	sparingly
节约的	sparing
节肢动物	arthropod
节能器	economiser|economizer
节食者	dieter
芋头	taro
芒戈	mungo
芒族	Muong
芒果	mango
芒果数据库	MongoDB
芒森	Munson
芒福德	Mumford
芒西	Munsey
芙蕾雅	Freya
芜菁	turnip
芜菁甘蓝	rutabaga
芝加哥	Chicago
芝加哥人	Chicagoan
芝士汉堡	cheeseburger
芝士蛋糕	cheesecake
芝宝打火机	zippo
芝麻	sesame
芥末	wasabi|mustard
芦笋	asparagus
芦苇	reed|bulrush
芦苇丛	reeds
芦苇丛生的	reedy
芦荟	aloe
芬兰	Finland
芬兰人	Finn
芬兰的	Finnish
芬利	Finley
芬奇	Vinci
芬威克	Fenwick
芬尼	pfennig
芬尼根	Finnegan
芬特明	phentermine
芬芳的	redolent
芬顿	Fenton
芭比	barbie
芭芭拉	Barbara
芭蕾式地	balletically
芭蕾的	balletic
芭蕾舞	ballet
芭蕾舞女	ballerina
芭蕾裙	tutu
芯片	chip
芯片组	chipset
花	flower
花冠	corolla
花卉的	floral
花呢	tweed
花哨	flashy|razzmatazz
花商	florist
花园	garden
花坛	flowerbed
花岗岩	granite
花岗岩器皿	graniteware
花岗岩的	granitic
花序	inflorescence
花彩	festoon
花斑的	piebald
花斑马	pinto|skewbald
花朵	blooms|blossoms
花束	posy|bouquet
花栗鼠	chipmunk
花梗	peduncle
花楸	rowan
花环	lei|anadem
花瓣	petal
花瓶	vase|bimbo
花生	peanut|goober
花盆	flowerpot
花粉	pollen
花粉症	pollinosis
花花公子	dandy|coxcomb
花花女郎	playgirl
花药	anther
花药的	antheral
花莲	hualien
花萼	calyx
花蜜	nectar
花费	spend|expend
花费者	spender
花边	lace|picot
花键	spline
花青素	anthocyanin
花饰	curlicue
花香的	blossomy
芳香	odorousness
芳香地	odorously|fragrantly
芳香疗法	aromatherapy
芳香的	odorous|aromatic
芹菜	celery
芽	bud
苄基	benzyl
苇鸟	reedbird
苋菜	amaranth
苍头燕雀	chaffinch
苍白	wan|pale
苍白地	wanly|palely
苍白的	pallid
苍穹	firmament
苍耳	cocklebur
苍鹭	heron
苍鹰	goshawk
苏丹	Sudan|sultan
苏丹后	sultaness
苏丹国	sultanate
苏丹的	Sudanic|Sudanese
苏伊士	Suez
苏克雷	sucre
苏兹贝格	Sulzberger
苏加诺	Sukarno
苏圣玛丽	Sault
苏帕贝斯	Supabase
苏打水	soda|seltzer
苏打饼干	saltine
苏拉威西	Celebes
苏族	Sioux
苏格兰	Scottish|Scotland
苏格兰人	Scot
苏格兰便帽	glengarry
苏格兰男人	Scotsmen|Scotsman
苏格兰的	Scots
苏格拉底	Socrates
苏格拉底的	Socratic
苏泽	suse
苏活	SOHO
苏玳酒	sauterne
苏珊	Susan
苏珊娜	Suzanne|Susanne
苏瓦尼	Suwanee
苏维埃	soviets
苏美尔	Sumeria
苏美尔的	Sumerian
苏联	USSR|Soviet
苏萨	Sousa
苏西	Susie
苏里南	suriname
苏铁	cycad
苏门答腊	Sumatra
苏门答腊PDF	Sumatra PDF
苏黎世	Zurich
苔丝	Tess
苔原	tundra
苔藓	moss
苔藓学	bryology
苗圃	nurseries
苗床	seedbed
苗条	slim|slender
苗条地	slimly
苗条的	svelte
苛刻的	demanding
苛求	exacting
苛求地	exactingly|demandingly
苛评	hypercriticism
苛评的	hypercritical
苜蓿	alfalfa
苞片	bract
若虫的	nymphal
苦	bitter
苦乐参半	bittersweet
苦力	coolie
苦味	bitterness
苦工	fag|peon
苦差事	shitwork|drudgery
苦干	slog|moil
苦干者	plodder
苦木	quassia
苦根	bitterroot
苦涩地	bitterly
苦胡桃	bitternut
苦艾	wormwood
苦艾酒	absinth|absinthe
苦艾酒中毒	absinthism
苦薄荷	horehound
苦行僧	sadhu|dervish
苦行的	ascetic
苦行者	ascetics
苦读	swot
苦酒	bitters
苦难	misery|miseries
苯	benzene
苯丙氨酸	phenylalanine
苯丙胺	Benzedrine
苯乙烯	styrene
苯基	phenyl
苯甲酸的	benzoic
苯甲酸盐	benzoate
苯胺	aniline
苯酚	phenol
英	Eng
英亩	acre
英亩数	acreage
英仙座流星	Perseid
英伟达	NVIDIA
英俊	handsome|handsomeness
英勇	valor|valour
英勇地	gallantly|valiantly
英勇的	heroic|valiant
英勇者	gallants
英勇行为	heroics
英国	UK|blighty
英国习语	anglicism
英国人	Britisher|Englishmen
英国佬	limey
英国化	Anglicanize
英国国教	Anglicanism
英国国教徒	Anglicans
英国国教的	Anglican
英国女人	Englishwoman
英国广播公司	BBC
英国式地	Britishly
英国性	Englishness
英国特色	briticism
英国的	Anglo|British
英寸	inch
英寻	fathom
英担	cwt
英曼	Inman
英格兰	Anglia|england
英格兰人	englander
英格拉姆	Ingram
英格索尔	Ingersoll
英泰尔	Itel
英灵殿	Valhalla
英特尔	Intel
英菲尼迪	infiniti
英语	English|english
英语化	Englishize
英迪拉	Indira
英里	mi|mile
英钱	pennyweight
英镑	GBP|quid
英雄	hero
英雄主义	heroism
英雄化	heroize
英雄联盟	League of Legends
苹果	apple
苹果一	Apple One
苹果包	iPack
苹果卡	Apple Card
苹果品种	pippin
苹果商店	Apple Store
苹果图书	Apple Books
苹果处理器	PowerPC
苹果平板	iPad
苹果平板系统	iPadOS
苹果开发者	Apple Developer
苹果手表	Apple Watch
苹果支付	Apple Pay
苹果文件系统	Apple File System
苹果新闻	Apple News
苹果智能	Apple Intelligence
苹果服务	AppleCare
苹果服务+	AppleCare+
苹果状的	pomaceous
苹果电脑	Mac
苹果电视	Apple TV
苹果电视+	Apple TV+
苹果白兰地	calvados|applejack
苹果短信	iMessage
苹果笔	Apple Pencil
苹果笔记本	MacBook|PowerBook
苹果笔记本Air	MacBook Air
苹果笔记本Pro	MacBook Pro
苹果系统	iOS|macOS
苹果芯片	apple silicon
苹果街机	Apple Arcade
苹果视觉	Apple Vision
苹果视觉专业版	Apple Vision Pro
苹果账号	Apple ID
苹果酒	cider
苹果酱	applesauce
苹果酸的	malic
苹果音乐	Apple Music
茂盛	lush
范例	exemplum|paradigm
范例的	paradigmatic
范围	scope|range
范妮	Fanny|Fannies
范德堡	Vanderburgh
范德普尔	Vanderpoel
范德比尔特	Vanderbilt
范德瓦尔斯	Waals
范思哲	versace
范戴克	vandyke
范登堡	Vandenberg
茄子	eggplant|brinjaul
茅屋	jacal
茅膏菜	sundew
茅草	quitch|thatch
茉莉	jasmine
茎	stem|stalk
茎生的	cauline
茎秆	haulm
茜素	alizarin
茜草	madder
茧	cocoon
茧绸	pongee
茫然	blankly
茫然地	vacantly
茯苓	tuckahoe
茴香	anise|fennel
茴香籽	aniseed
茴香酒	ouzo|anisette
茴鱼	grayling
茶	tea
茶匙	teaspoon
茶匙量	teaspoonfuls
茶叶罐	caddy
茶壶	teapot|teakettle
茶室	tearoom
茶杯	teacup
茶点	refreshments
茶碟	saucer
茶碱	theine
茶馆	teahouse
荆棘	brier|bramble
荆豆	whin|gorse
荆豆的	furzy|gorsy
草	grass
草丛丛生的	tussocky
草书	cursive
草原	steppe|prairie
草图	sketch
草地	lea|sward
草地的	grassy|meadowy
草坪	lawn|grassplot
草坪般的	lawny
草履虫	paramecium
草本植物	herbage
草本的	herby|herbaceous
草案	draft
草率	cursoriness
草皮	sod|turf
草皮客	turfite
草皮的	turfy
草类	grasses
草绘的	sketched
草草记下	jot|jotted
草药	herb
草药师	herbalist
草药的	herbal
草莓	strawberry|strawberries
草蛉	lacewing
草裙舞	hula
草质	grassiness
草酸	oxalic
荒凉	bleakness|desolation
荒凉地	bleakly|desolately
荒凉的	stark|bleak
荒地	heath|badland
荒地的	heathy
荒废的	deserted
荒漠化	desertification
荒芜	barrenness|desolations
荒谬	absurd|absurdity
荒谬地	absurdly|ludicrously
荒谬的	ludicrous|ridiculous
荒野	wold|wilderness
荔枝	litchi
荚蒾	viburnum|laurustinus
荜澄茄	cubeb
荞麦	buckwheat
荠菜	pennycress
荡妇	slut|trollop
荣格	Jung
荣格派	Jungian
荣耀	glory|Gloria
荣耀安娜	Gloriana
荣誉	honor|honour
荣誉的	honorary
荧光	fluorescence
荧光检查	fluoroscopy
荧光的	fluorescent
荧光计	fluorometer
荧光镜	fluoroscope
荨麻	nettle
荨麻疹	hives|urticaria
药丸	pill|bolus
药典	pharmacopoeia
药剂师	druggist|apothecary
药品	drugs|pharmaceuticals
药喇叭	jalap
药店	drugstore|pharmacies
药房	pharmacy|dispensary
药旋花	scammony
药水	potion
药片	troche|tablet
药物	drug|physic
药理学	pharmacology
药理学家	pharmacologist
药理学的	pharmacological
药用上	medicinally
药用的	medicinal|officinal
